2021-10-10 21:10:20 INFO  LogHelper:24 - [INFO:]Enter is clicked
2021-10-10 21:10:20 INFO  LogHelper:24 - [INFO:]Element is Clicked
2021-10-10 21:10:20 INFO  LogHelper:24 - [INFO:]Element is Clicked
2021-10-10 21:10:20 INFO  LogHelper:24 - [INFO:]Expected To Do's List: [Logo Designing, Solving Maths, Architecture, Playing soccer, Solving Maths, Solving Puzzle, Entertainment]
2021-10-10 21:10:20 INFO  LogHelper:24 - [INFO:]Text displayed on UI: Logo Designing
2021-10-10 21:10:20 INFO  LogHelper:24 - [INFO:]Text displayed on UI: Solving Maths
2021-10-10 21:10:21 INFO  LogHelper:24 - [INFO:]Text displayed on UI: Architecture
2021-10-10 21:10:21 INFO  LogHelper:24 - [INFO:]Text displayed on UI: Playing soccer
2021-10-10 21:10:21 INFO  LogHelper:24 - [INFO:]Text displayed on UI: Solving Maths
2021-10-10 21:10:21 INFO  LogHelper:24 - [INFO:]Text displayed on UI: Solving Puzzle
2021-10-10 21:10:21 INFO  LogHelper:24 - [INFO:]Text displayed on UI: Entertainment
2021-10-10 21:10:21 INFO  LogHelper:24 - [INFO:]Actual To Do Items displayed on Screen are:- [Logo Designing, Solving Maths, Architecture, Playing soccer, Solving Maths, Solving Puzzle, Entertainment]
2021-10-10 21:10:21 INFO  LogHelper:24 - [INFO:]Text displayed on UI: 7 items left
2021-10-10 21:10:21 INFO  LogHelper:24 - [INFO:]Element is Clicked
2021-10-10 21:10:21 INFO  LogHelper:24 - [INFO:]Text displayed on UI: 7 items left
2021-10-10 21:10:21 INFO  LogHelper:24 - [INFO:]Element is Clicked
2021-10-10 21:10:21 INFO  LogHelper:24 - [INFO:]Text displayed on UI: 7 items left
2021-10-10 21:10:22 INFO  LogHelper:24 - [INFO:]Ended execution of scenario: Adding of multiple To Do list of item
